database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy
NEOTROPTREE_10,Dahlstedtia muehlbergiana,-21.07,-47.4361111111111,AtlSP161,NA,Brasil,NA,NA,"Gruta do Itambé, floresta semidecídua",NA,NA,NA,NA,NA
NEOTROPTREE_11,Copaifera coriacea,-10.1322222222222,-44.7119444444444,CerPI033,NA,Brasil,NA,NA,"Parnaguá, cerradão mesotrófico",NA,NA,NA,NA,NA
NEOTROPTREE_12,Miconia gratissima,-4.22111111111111,-63.1722222222222,AmzAM163,NA,Brasil,NA,NA,"Coari, floresta pluvial de terra firme",NA,NA,NA,NA,NA
NEOTROPTREE_13,Cabralea canjerana,-17.6558333333333,-46.3122222222222,CerMG068,NA,Brasil,NA,NA,"João Pinheiro, floresta ripícola",NA,NA,NA,NA,NA
NEOTROPTREE_14,Solanum megalochiton,-14.835,-40.5547222222222,AtlBA099,NA,Brasil,NA,NA,"Barra do Choça, floresta semidecídua",NA,NA,NA,NA,NA
NEOTROPTREE_15,Machaerium acutifolium,-19.2183333333333,-49.1463888888889,CerMG240,NA,Brasil,NA,NA,"Prata, cerrado",NA,NA,NA,NA,NA
NEOTROPTREE_16,Agonandra brasiliensis,-20.1538888888889,-54.5611111111111,CerMS034,NA,Brasil,NA,NA,"Jaraguari, cerradão mesotrófico",NA,NA,NA,NA,NA
NEOTROPTREE_17,Iriartea deltoidea,-2.82833333333333,-67.7961111111111,AmzAM285,NA,Brasil,NA,NA,"Tonantins, floresta pluvial de terra firme",NA,NA,NA,NA,NA
NEOTROPTREE_18,Cordia trichotoma,-17.0736111111111,-43.7672222222222,CerMG114,NA,Brasil,NA,NA,"Bocaiúva, floresta decídua",NA,NA,NA,NA,NA
NEOTROPTREE_19,Nectandra amazonum,-3.13305555555556,-60.8969444444444,AmzAM220,NA,Brasil,NA,NA,"Lago Manacapuru, floresta inundável de água negra",NA,NA,NA,NA,NA
NEOTROPTREE_20,Byrsonima blanchetiana,-10.1394444444444,-39.83,CaaBA019,NA,Brasil,NA,NA,"Andorinha, caatinga quartzítica",NA,NA,NA,NA,NA
SIBBR_1,Dryopteris,NA,NA,163ea702-1a6e-473c-ad89-4948fc2758fd,1930,NA,NA,NA,,NA,PreservedSpecimen,C; Chr,NA,NA
SIBBR_2,Lamiaceae,NA,NA,c6723db8-f11e-4b3d-80b0-9b25312ef606,NA,Brazil,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA
SIBBR_3,Erythrina,NA,NA,35332ca6-417d-40fe-825b-19c3071e9b22,1989,Brazil,NA,NA,"Chiapas. Mun. Tuxtla Gutierrez Em El Carmen, 13km al SW de Tuxtla Gtz.",NA,PreservedSpecimen,"Soto, J.C.",NA,NA
SIBBR_4,Symplocos celastrinea,NA,NA,a4333dbe-a83c-409f-a536-bd7486a09915,2001,Brasil,NA,NA,NA,NA,PreservedSpecimen,"Aranha, J.L.M.",NA,NA
SIBBR_5,Polypodium hirsutissimum,NA,NA,a1998531-ab55-495b-bcd1-38aebbd8916c,1993,NA,NA,NA,Ò_x0002_,NA,PreservedSpecimen,"Kazmirczak, C",NA,NA
SIBBR_6,Piptadenia gonoacantha,NA,NA,10d02587-02e0-4c85-9ba0-648447519d25,2004,NA,NA,NA,"Reservatório de Miranda, Cerca de 20 km do centro de Uberlândia.",NA,PreservedSpecimen,NA,NA,NA
SIBBR_7,Cnidoscolus vitifolius,-6965,-41678331,c465ad70-0931-4947-b89c-11ef98107957,2009,NA,NA,NA,Água Mineral Manaíra,NA,PreservedSpecimen,NA,NA,NA
SIBBR_8,Pontederiaceae,NA,NA,c0672dd8-a417-4e52-b350-82b083c2e2b2,NA,NA,NA,NA,Province de Saint Paul,NA,PreservedSpecimen,Saint-Hilaire,NA,NA
SIBBR_9,Gonolobus hatschbachii,NA,NA,619e3df7-1b27-4b26-a5f4-799691ce0286,1959,Brazil,NA,NA,"Municipio Cerro Azul, Morro Grande, Da Mata da ecosta dos Morros",NA,PreservedSpecimen,NA,NA,NA
SIBBR_10,Plantae,-23.213774,-46.361428,ad73d33b-4f47-445a-bc84-bcc8397552d6,2013,NA,NA,NA,NA,NA,HumanObservation,NA,NA,NA
SIBBR_11,Serpocaulon latipes,NA,NA,3a156871-1899-4950-8727-1bc158082e36,1996,NA,Espírito Santo  es,NA,"Reserva Florestal de Linhares, Estrada: Flamengo. Km 1,2.",NA,PreservedSpecimen,"Salino, A",NA,NA
SIBBR_12,Matayba elaeagnoides,-24.10056,-50.70694,587d1247-b4e8-4a13-b121-6717f7f86273,2011,NA,NA,NA,H|_x0005_,NA,PreservedSpecimen,"Bonaldi, R.A.",NA,NA
SIBBR_13,Trichilia micrantha,NA,NA,a8cc67df-1c63-4830-9769-cb2ea5b6dbc6,1968,NA,NA,NA,ìW,NA,PreservedSpecimen,NA,NA,NA
SIBBR_14,Sapium glandulosum,NA,NA,792bc66f-de36-4384-a449-717e084a55c6,1994,Brasil,NA,NA,Socavão,NA,PreservedSpecimen,V. Santos,NA,NA
SIBBR_15,Desmodium leiocarpum,NA,NA,ebef8d85-72da-4c9a-8cea-dad5e23850fd,NA,Brazil,NA,NA,"Occasional. Campo and gallery forest, Riberao Torto, near Sobradinho,",NA,PreservedSpecimen,J. Grimes 90,NA,NA
SIBBR_16,Conocliniopsis prasiifolia,-8.631128,-41.057183,066c5217-6e3b-4769-a1c4-eae3e7409798,NA,Brazil,NA,NA,NA,NA,NA,Rita Pereira,NA,NA
SIBBR_17,Araliaceae,NA,NA,b1fecef4-e181-45d7-b38f-bc5cad9e160c,1971,Brazil,NA,NA,Rio Moa between Cachoeira Grande and Serra da Moa village,NA,PreservedSpecimen,D. G. Frodin,NA,NA
SIBBR_18,Chamaecrista flexuosa,NA,NA,c5f2e01a-927b-4848-b389-cbe966306ddc,NA,Brazil,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA
SIBBR_19,Ficus,NA,NA,369db793-3db2-419a-a1de-a298f20e77b0,NA,Brazil,NA,NA,Brasil.,NA,NA,NA,NA,NA
SIBBR_20,Podostemaceae,NA,NA,2f80860f-db79-4be1-b41c-dde5dea51fac,1980,Brazil,NA,NA,Cachoeira Porteira,NA,PreservedSpecimen,C. T. Philbrick,NA,NA
SPECIESLINK_1,Randia armata,-19.696944,-39.931944,46966,NA,Brasil,Espírito Santo,NA,"Reserva de Comboios, próximo à reserva indígena. Ponto de amostragem 8.",NA,S,NA,NA,"Firmino, A.D.; Valadares, R.T."
SPECIESLINK_2,Myrcia decorticans,0,0,127977,NA,Brasil,Alagoas,NA,Usina Corurioe - Fazenda Capiatã A - Bloco Goiabeia.,NA,PreservedSpecimen,NA,NA,"Machado, M.A.B.L."
SPECIESLINK_3,Senecio subarnicoides,0,0,3381603,NA,Brazil,Santa Catarina,NA,Serra do Quiriri (Mun. Campo Alegre),NA,PreservedSpecimen,NA,NA,"J. M. Silva, O. S. Ribas, J. Cordeiro & E. L. Barbosa"
SPECIESLINK_4,Baccharis polyphylla,-13.55,-41.95,2851678,NA,Brazil,Bahia,NA,Brazil: Estado da Bahia. Serra das Almas. Middle and upper N.E. slopes of the Pico das Almas ca. 25km. W.N.W. of the Vila do Rio de Contas,NA,PreservedSpecimen,NA,NA,"R. M. Harley, S. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro"
SPECIESLINK_5,Undesignated undesignated,-15.26472,-40.57472,3395923,NA,Brazil,Bahia,NA,"""Itambé: 37.5 west of itapetinga on BR 415 to Itambé. Semi-deciduous \""vine\"" forst (Mata de Cipó) with arborescent cacti.""",NA,PreservedSpecimen,NA,NA,Thomas
SPECIESLINK_6,Ocotea pulchella,0,0,NA,NA,Brasil,Rio Grande do Sul,NA,Limeira- São José da Porteirinha,NA,S,NA,NA,"Alvarez, A.F."
SPECIESLINK_7,Ocotea lobbii,0,0,15479,NA,Brasil,Espírito Santo,NA,Setiba.,NA,S,NA,NA,"Fabris, L.C."
SPECIESLINK_8,Aristolochia arcuata,0,0,88280,NA,Brasil,São Paulo,NA,NA,NA,S,NA,NA,"Lopes, L.M.X."
SPECIESLINK_9,Sematophyllum galipense,-13.279722,-41.903889,84295,NA,Brasil,Bahia,NA,Serra do Barbado. Catolés,NA,PreservedSpecimen,NA,NA,"Bastos, C"
SPECIESLINK_10,Parthenium hysterophorus,-21.7944,-48.1756,20032,NA,Brasil,São Paulo,NA,NA,NA,S,NA,NA,H.F. Leitão Filho & C. Aranha
SPECIESLINK_11,Endlicheria paniculata,0,0,21981,NA,Brazil,Distrito Federal,NA,BR-251 após a cachoeirinha,NA,S,NA,NA,"Heringer, EP; et al."
SPECIESLINK_12,Jacaranda simplicifolia,-13.9584,-47.3578,748798,NA,Brazil,Goiás,NA,"Chapada dos Veadeiros, ca. 25 km by road N of Alto Paraíso",NA,PreservedSpecimen,NA,NA,W. R. Anderson
SPECIESLINK_13,Chamaesyce,-14.4525,-43.7533333,1195853,NA,Brazil,Bahia,NA,"Rod. para o Distr. de Cana Brava, 18 km S da sede municipal, 1.6 km do povoado de Serra de João Alves.",NA,PreservedSpecimen,NA,NA,J. G. Jardim
SPECIESLINK_14,Eriosema tacuaremboense,0,0,4144,NA,Brasil,Rio Grande do Sul,NA,NA,NA,PreservedSpecimen,NA,NA,Flávio
SPECIESLINK_15,Schrankia leptocarpa,0,0,448,NA,Brasil,Pernambuco,NA,NA,NA,PreservedSpecimen,NA,NA,"Sarmento, A."
SPECIESLINK_16,Salvia consimilis,0,0,58044,NA,Brasil,Santa Catarina,NA,Serra do Rio do Rastro.,NA,PreservedSpecimen,NA,NA,"Funez, L.A.; Zermiani, A.E."
SPECIESLINK_17,Eucalyptus tereticornis,0,0,52773,NA,Brasil,SP,NA,NA,NA,PreservedSpecimen,NA,NA,B.Lopes
SPECIESLINK_18,Steinchisma,0,0,127062,NA,Brasil,SC,NA,BR 470 2km de acesso a Abdon Batista,NA,S,NA,NA,"Longhi-Wagner, HM"
SPECIESLINK_19,Justicia brasiliana,-26.361184,-49.273742,468,NA,Brasil,Santa Catarina,NA,"Rio Natal - Beira de estrada, sentido Corupá",NA,MachineObservation,NA,NA,"Schwirkowski, P."
SPECIESLINK_20,Cranichis scripta,0,0,NA,NA,Brazil,Distrito Federal,NA,NA,NA,PreservedSpecimen,NA,NA,L. B. Smith
